,fes_youth,fes_p_ss_fc_pr,macv_p_ss_fs,macv_p_ss_fo,macv_p_ss_isr,macv_p_ss_fr,macv_p_ss_r,demo_prnt_age_v2,demo_prnt_marital_v2,demo_comb_income_v2,demo_fam_exp,demo_yrs_1,demo_yrs_2,parent_rules_q1,parent_rules_q4,parent_rules_q7,y
80,1,4.0,3.83,2.8,2.2,2.8,1.71,45.0,1,9,0,0,4,0,0,2,0
81,0,0.0,2.83,2.2,3.6,2.4,1.0,41.0,5,7,0,0,2,2,0,2,0
82,3,3.0,4.67,3.8,4.0,3.6,5.0,35.0,1,9,0,3,4,0,0,0,1
83,4,1.0,4.67,3.6,3.2,3.4,3.71,40.0,1,6,0,3,4,0,0,0,0
84,0,0.0,5.0,3.8,3.4,4.0,4.43,31.0,5,1,1,1,4,0,0,0,0
85,0,1.0,4.67,3.2,2.4,2.6,1.57,40.0,1,8,0,1,1,0,0,2,0
86,5,1.0,4.17,3.6,3.8,3.8,3.29,46.0,1,9,0,4,3,0,0,0,0
87,1,3.0,4.0,3.0,2.2,3.0,5.0,36.0,1,9,0,3,4,2,2,2,0
88,1,2.0,3.83,2.8,2.8,2.4,2.43,40.0,1,9,0,2,2,0,2,2,0
89,0,1.0,5.0,5.0,4.0,5.0,5.0,35.0,1,5,1,4,4,0,0,0,1
90,5,2.0,2.83,2.6,3.4,2.4,1.14,38.0,1,9,0,1,1,2,0,2,1
91,0,1.0,4.17,4.0,2.6,3.6,5.0,48.0,1,4,1,4,4,2,2,2,0
92,3,4.0,5.0,5.0,4.2,5.0,4.86,43.0,5,1,0,1,4,0,0,0,0
93,2,3.0,3.5,3.8,3.2,4.0,4.0,37.0,1,4,0,3,4,0,0,2,1
94,3,1.0,5.0,5.0,4.2,5.0,5.0,43.0,3,3,0,3,2,0,0,0,1
95,1,4.0,4.5,3.0,4.0,3.2,3.43,40.0,1,9,0,0,2,0,0,0,1
96,5,6.0,4.17,5.0,4.2,4.0,4.71,33.0,5,1,1,3,4,0,0,0,1
97,3,4.0,3.5,3.2,3.6,3.0,3.0,38.0,1,8,0,1,2,2,0,2,1
98,3,3.0,2.83,2.8,5.0,3.2,2.0,46.0,6,10,0,2,1,0,0,0,0
99,2,4.0,4.67,3.8,3.8,3.6,3.86,32.0,1,6,0,1,3,0,0,0,0
100,5,4.0,3.67,3.8,3.2,3.6,1.14,47.0,1,9,0,0,1,0,0,0,1
101,2,1.0,4.0,3.0,3.8,2.2,3.71,37.0,3,6,0,3,4,0,0,0,1
102,2,2.0,5.0,4.6,4.4,4.4,2.14,30.0,5,5,1,0,1,0,0,0,1
103,3,1.0,3.5,2.8,2.8,2.8,2.29,31.0,5,7,1,1,2,0,0,0,1
104,1,1.0,4.0,4.0,2.8,3.2,4.71,45.0,4,4,1,1,3,0,0,0,0
105,4,5.0,4.17,3.0,3.0,3.2,3.86,41.0,1,9,0,3,3,0,0,0,1
106,2,6.0,3.33,3.0,3.6,3.0,3.43,50.0,1,8,0,0,3,0,0,0,1
107,2,4.0,5.0,2.0,3.4,3.2,5.0,38.0,1,8,0,4,4,0,0,0,1
108,4,2.0,3.5,2.8,3.4,2.6,1.0,36.0,1,9,0,0,1,2,2,2,1
109,7,1.0,5.0,4.4,5.0,3.8,3.29,51.0,1,8,0,1,3,0,0,0,0
110,3,2.0,4.83,4.2,3.6,4.2,5.0,39.0,1,4,0,4,4,0,0,0,0
111,3,5.0,2.67,3.2,2.8,2.8,4.71,34.0,5,7,1,4,4,0,0,0,1
112,3,3.0,4.33,4.2,4.0,4.0,4.29,51.0,1,8,0,3,3,0,0,0,1
113,2,0.0,4.5,4.8,3.6,4.4,4.57,37.0,5,6,0,2,3,0,0,0,0
114,7,9.0,4.5,3.6,4.2,3.6,3.71,46.0,3,3,1,1,2,0,0,0,1
115,0,2.0,4.0,3.8,2.6,4.0,4.86,33.0,1,5,0,0,4,0,0,0,0
116,4,4.0,3.33,2.8,3.0,2.4,1.0,40.0,1,9,0,0,1,2,2,2,0
117,1,3.0,3.5,4.0,3.4,3.2,1.14,43.0,1,9,0,1,3,2,0,2,0
118,4,1.0,4.67,3.6,3.4,3.8,1.14,42.0,1,10,0,1,1,2,2,2,0
119,3,3.0,4.0,3.2,3.8,3.6,1.86,38.0,1,9,0,0,2,2,0,2,1
120,6,3.0,4.0,3.6,4.0,2.4,3.14,43.0,1,9,0,0,3,0,0,0,1
121,3,2.0,4.33,3.6,4.0,4.4,4.57,34.0,3,6,1,4,3,0,0,0,1
122,2,3.0,4.0,3.8,4.0,3.8,4.71,45.0,4,7,0,3,4,2,2,2,1
123,4,3.0,5.0,2.8,2.6,2.6,1.43,38.0,1,9,0,0,1,0,0,0,0
124,1,0.0,4.17,2.8,3.4,3.0,3.57,40.0,1,9,0,2,3,0,0,0,0
125,3,6.0,3.17,2.8,2.2,1.8,2.0,44.0,1,10,0,1,2,0,0,0,0
126,2,0.0,3.67,2.2,3.2,2.8,3.14,42.0,1,10,0,2,4,2,2,2,0
127,0,3.0,4.33,3.8,3.6,3.2,1.29,42.0,1,9,0,0,1,0,0,2,0
128,1,0.0,4.0,3.6,3.0,3.4,1.0,43.0,1,9,0,0,1,2,0,0,0
129,0,1.0,4.0,3.8,3.8,3.6,4.0,48.0,1,9,0,0,2,2,2,2,0
130,0,5.0,5.0,4.4,5.0,5.0,5.0,34.0,5,1,0,3,4,0,0,0,0
131,1,2.0,4.5,2.4,3.6,3.2,3.86,36.0,3,8,0,1,3,0,0,0,0
132,4,2.0,4.0,3.2,3.6,2.8,1.0,40.0,3,6,1,0,1,0,0,0,0
133,3,3.0,4.0,3.4,3.0,3.4,4.71,67.0,1,4,0,3,3,0,0,0,1
134,1,2.0,4.5,3.6,4.0,4.0,3.86,33.0,5,2,0,2,3,2,2,2,1
135,7,7.0,3.83,3.2,3.2,3.2,4.29,42.0,6,9,0,2,3,2,2,2,1
136,1,2.0,4.17,3.4,3.2,4.2,3.57,29.0,1,6,1,3,3,0,0,0,1
137,0,6.0,4.33,4.0,3.4,3.4,3.86,35.0,5,5,1,2,4,2,2,2,0
138,1,3.0,3.67,2.6,3.0,3.2,1.0,40.0,1,9,0,2,2,0,0,0,1
139,1,2.0,3.67,3.8,3.8,3.2,3.57,48.0,3,9,0,1,1,0,0,0,1
140,5,9.0,3.33,3.6,4.6,3.4,3.86,34.0,5,1,1,4,3,0,0,0,1
141,1,3.0,4.33,3.6,3.4,2.6,2.43,35.0,1,8,0,1,4,1,0,2,0
142,3,2.0,4.33,3.8,3.6,3.0,4.86,41.0,1,5,0,4,3,0,0,0,0
143,0,1.0,3.0,2.6,2.8,2.0,1.0,41.0,3,7,0,0,1,2,2,2,0
144,6,2.0,3.67,3.4,3.2,3.2,3.71,40.0,1,9,0,3,3,2,0,0,1
145,5,5.0,4.0,4.0,3.2,4.0,4.0,42.0,1,10,0,4,4,0,0,0,0
146,0,2.0,5.0,3.6,4.0,3.6,5.0,42.0,1,10,0,3,4,0,0,0,0
147,4,7.0,3.33,3.4,4.6,2.4,1.14,37.0,6,8,1,3,3,0,0,0,1
148,1,1.0,3.5,3.8,4.0,2.2,1.14,45.0,1,10,0,0,1,0,0,0,0
149,0,1.0,4.83,3.6,4.4,3.0,3.0,40.0,3,9,0,1,3,2,0,0,0
150,6,3.0,4.17,3.4,2.8,3.4,5.0,48.0,1,8,0,4,4,0,0,0,0
151,0,3.0,3.83,3.6,3.0,3.0,1.0,42.0,1,10,0,0,3,2,0,2,1
152,2,5.0,4.33,3.6,4.4,4.2,2.71,43.0,1,9,1,1,3,0,2,0,0
153,0,3.0,3.33,3.4,4.4,4.2,1.71,39.0,1,9,0,0,1,0,0,0,0
154,0,0.0,3.83,4.0,3.0,2.8,3.0,35.0,6,10,0,2,3,2,2,2,0
155,3,6.0,4.0,3.6,3.8,2.6,4.86,38.0,1,8,0,3,4,0,0,0,1
156,0,1.0,5.0,4.4,3.8,4.6,2.29,39.0,1,9,0,0,3,0,0,0,0
157,1,0.0,3.33,1.6,2.6,2.4,3.0,40.0,1,9,0,2,3,1,2,0,1
158,1,3.0,3.83,3.0,3.4,3.4,1.0,36.0,1,8,0,0,1,2,2,2,0
159,1,0.0,4.5,3.6,3.4,3.6,5.0,38.0,1,9,0,3,4,0,0,0,0
160,1,4.0,3.17,2.4,3.6,1.8,1.0,44.0,1,10,0,0,1,0,0,0,0
161,1,1.0,3.5,3.0,2.2,2.8,1.0,44.0,1,9,0,0,1,0,0,0,0
162,2,0.0,3.83,3.6,3.2,3.0,3.29,56.0,3,3,1,2,3,0,0,0,0
163,1,3.0,4.0,4.2,4.0,3.8,3.29,35.0,5,7,1,0,2,0,0,0,1
164,1,4.0,4.67,4.6,3.8,4.6,5.0,29.0,5,5,0,1,2,0,0,0,1
165,3,1.0,2.17,2.2,2.4,2.0,1.71,42.0,1,9,0,0,2,2,2,2,0
166,1,4.0,3.17,3.4,2.8,3.2,3.14,39.0,1,9,0,2,4,2,0,2,1
167,6,2.0,4.33,3.6,3.8,4.6,5.0,37.0,1,10,0,3,4,0,2,0,1
168,1,0.0,3.67,3.6,3.8,3.6,3.86,43.0,1,10,0,1,4,2,2,2,0
169,0,2.0,4.0,3.2,3.4,2.6,1.43,39.0,1,10,0,0,1,0,0,0,0
170,0,2.0,3.83,2.6,3.4,2.4,3.57,36.0,1,9,0,2,2,0,2,2,0
171,0,1.0,4.17,2.8,4.4,3.0,1.0,44.0,1,9,0,0,1,0,0,0,0
172,0,2.0,4.0,3.6,2.8,3.4,3.57,42.0,1,9,0,1,2,0,0,0,0
173,2,1.0,4.67,3.0,3.4,2.6,2.43,45.0,1,9,0,0,1,0,0,0,0
174,0,4.0,3.67,4.0,4.2,3.8,5.0,38.0,5,5,0,3,3,0,0,0,1
175,0,1.0,5.0,4.8,4.2,4.8,5.0,49.0,1,6,0,2,4,0,0,0,0
176,4,2.0,4.5,3.8,3.6,4.0,4.43,44.0,6,7,1,1,4,0,0,0,1
177,0,0.0,4.17,4.6,3.6,3.2,1.14,44.0,1,9,0,0,1,2,0,2,0
178,0,3.0,3.67,4.2,3.0,3.6,4.71,33.0,5,5,1,2,4,0,0,0,0
179,0,1.0,4.67,3.8,3.2,3.2,1.71,50.0,1,9,0,3,4,0,0,0,0
180,6,7.0,3.5,3.0,3.8,4.0,2.86,33.0,4,4,1,2,3,0,0,0,1
181,0,2.0,4.0,3.0,3.4,2.6,1.71,35.0,1,7,1,0,1,0,0,0,1
182,2,2.0,4.83,4.2,3.8,4.2,5.0,34.0,1,8,0,3,3,0,0,0,0
183,5,4.0,5.0,5.0,5.0,5.0,5.0,35.0,1,1,0,1,1,1,0,0,0
184,0,1.0,4.0,3.0,2.8,3.6,4.86,37.0,1,7,0,3,4,0,0,0,0
185,1,5.0,3.5,3.4,2.6,3.2,4.0,41.0,1,9,0,3,4,0,0,0,1
186,5,7.0,4.67,3.6,2.6,3.4,5.0,41.0,1,9,0,2,4,0,0,0,1
187,5,7.0,4.33,4.8,4.8,4.4,5.0,41.0,5,1,1,0,1,0,0,0,1
188,0,3.0,4.0,3.8,3.6,2.4,1.14,39.0,1,10,0,1,3,2,0,2,0
189,7,2.0,4.0,3.6,2.8,3.8,5.0,39.0,1,9,0,3,4,0,0,0,0
190,2,7.0,3.33,3.4,2.8,3.4,3.71,48.0,1,9,0,1,4,2,2,2,1
191,0,3.0,3.83,3.8,2.4,3.0,3.57,53.0,1,9,0,1,2,0,0,0,1
192,0,0.0,2.17,2.6,3.2,2.2,1.14,47.0,1,10,0,0,1,0,0,0,1
193,1,1.0,4.0,2.4,4.0,1.6,1.0,50.0,1,9,0,0,1,0,0,0,0
194,2,4.0,4.33,4.0,4.2,3.6,3.43,44.0,1,10,0,3,4,0,0,0,0
195,3,5.0,4.17,3.2,3.2,3.4,4.86,34.0,1,7,0,3,4,0,0,0,1
196,3,3.0,4.5,3.6,3.4,2.8,1.43,31.0,1,8,0,0,2,0,0,0,0
197,0,0.0,4.17,3.4,4.8,3.2,1.57,42.0,1,9,0,0,2,0,0,2,0
198,1,4.0,4.67,4.4,3.2,4.2,5.0,28.0,6,5,0,2,4,0,0,0,0
199,5,2.0,3.83,2.8,3.4,2.8,1.14,37.0,1,9,0,0,1,0,0,0,1
200,1,1.0,4.83,3.6,4.0,4.0,3.57,41.0,1,9,0,2,3,0,0,0,0
201,2,4.0,3.83,2.8,3.2,3.2,1.29,38.0,1,9,0,0,2,0,0,2,0
202,1,2.0,4.83,4.4,3.2,4.2,4.86,43.0,1,9,0,3,3,0,0,0,0
203,4,1.0,4.0,2.8,3.8,2.8,1.14,44.0,1,8,0,1,2,2,2,2,0
204,2,3.0,5.0,4.4,4.2,4.8,4.0,37.0,1,8,0,3,3,0,0,0,0
205,2,4.0,5.0,4.4,4.2,4.0,5.0,34.0,1,7,0,3,4,0,0,0,1
206,0,0.0,3.83,3.2,2.8,2.8,2.0,42.0,1,9,0,1,2,2,2,2,0
207,3,4.0,3.67,3.6,2.6,3.4,3.29,43.0,1,9,1,1,3,0,0,0,0
